#            r                  2P                  2S                  1S
      0.000890471492      0.000004989185      0.005535718771      0.024534709298
      0.000897623835      0.000005069544      0.005579941244      0.024730707533
      0.000904833627      0.000005151198      0.005624515041      0.024928262893
      0.000912101328      0.000005234165      0.005669442921      0.025127387608
      0.000919427403      0.000005318468      0.005714727665      0.025328094003
      0.000926812323      0.000005404127      0.005760372075      0.025530394499
      0.000934256559      0.000005491166      0.005806378974      0.025734301610
      0.000941760587      0.000005579605      0.005852751208      0.025939827948
      0.000949324889      0.000005669467      0.005899491643      0.026146986220
      0.000956949948      0.000005760776      0.005946603168      0.026355789230
      0.000964636251      0.000005853554      0.005994088695      0.026566249883
      0.000972384292      0.000005947826      0.006041951157      0.026778381178
      0.000980194566      0.000006043614      0.006090193509      0.026992196217
      0.000988067573      0.000006140944      0.006138818730      0.027207708202
      0.000996003816      0.000006239840      0.006187829821      0.027424930434
      0.001004003804      0.000006340328      0.006237229805      0.027643876316
      0.001012068048      0.000006442432      0.006287021730      0.027864559354
      0.001020197065      0.000006546180      0.006337208666      0.028086993158
      0.001028391375      0.000006651597      0.006387793707      0.028311191440
      0.001036651503      0.000006758710      0.006438779969      0.028537168017
      0.001044977976      0.000006867547      0.006490170595      0.028764936812
      0.001053371329      0.000006978135      0.006541968748      0.028994511853
      0.001061832097      0.000007090503      0.006594177619      0.029225907276
      0.001070360823      0.000007204678      0.006646800419      0.029459137324
      0.001078958053      0.000007320690      0.006699840388      0.029694216347
      0.001087624336      0.000007438569      0.006753300787      0.029931158807
      0.001096360228      0.000007558345      0.006807184903      0.030169979274
      0.001105166287      0.000007680047      0.006861496049      0.030410692428
      0.001114043077      0.000007803707      0.006916237562      0.030653313063
      0.001122991167      0.000007929357      0.006971412804      0.030897856082
      0.001132011128      0.000008057028      0.007027025164      0.031144336504
      0.001141103538      0.000008186753      0.007083078055      0.031392769459
      0.001150268979      0.000008318565      0.007139574916      0.031643170196
      0.001159508038      0.000008452498      0.007196519214      0.031895554075
      0.001168821305      0.000008588584      0.007253914440      0.032149936573
      0.001178209378      0.000008726860      0.007311764112      0.032406333288
      0.001187672857      0.000008867360      0.007370071776      0.032664759930
      0.001197212346      0.000009010120      0.007428841003      0.032925232334
      0.001206828458      0.000009155176      0.007488075392      0.033187766448
      0.001216521808      0.000009302566      0.007547778568      0.033452378347
      0.001226293015      0.000009452326      0.007607954185      0.033719084222
      0.001236142705      0.000009604494      0.007668605924      0.033987900390
      0.001246071509      0.000009759110      0.007729737492      0.034258843288
      0.001256080062      0.000009916213      0.007791352627      0.034531929479
      0.001266169005      0.000010075842      0.007853455092      0.034807175649
      0.001276338982      0.000010238039      0.007916048681      0.035084598612
      0.001286590646      0.000010402843      0.007979137214      0.035364215305
      0.001296924652      0.000010570299      0.008042724543      0.035646042795
      0.001307341662      0.000010740447      0.008106814546      0.035930098278
      0.001317842342      0.000010913331      0.008171411130      0.036216399075
      0.001328427364      0.000011088995      0.008236518235      0.036504962642
      0.001339097406      0.000011267484      0.008302139825      0.036795806562
      0.001349853151      0.000011448842      0.008368279899      0.037088948552
      0.001360695287      0.000011633117      0.008434942483      0.037384406460
      0.001371624508      0.000011820355      0.008502131633      0.037682198270
      0.001382641513      0.000012010603      0.008569851436      0.037982342099
      0.001393747008      0.000012203910      0.008638106011      0.038284856199
      0.001404941704      0.000012400325      0.008706899505      0.038589758960
      0.001416226315      0.000012599898      0.008776236098      0.038897068908
      0.001427601566      0.000012802679      0.008846120000      0.039206804708
      0.001439068184      0.000013008720      0.008916555454      0.039518985163
      0.001450626903      0.000013218074      0.008987546733      0.039833629218
      0.001462278462      0.000013430793      0.009059098141      0.040150755959
      0.001474023608      0.000013646931      0.009131214018      0.040470384611
      0.001485863091      0.000013866544      0.009203898732      0.040792534546
      0.001497797671      0.000014089686      0.009277156685      0.041117225278
      0.001509828110      0.000014316416      0.009350992312      0.041444476467
      0.001521955178      0.000014546789      0.009425410081      0.041774307917
      0.001534179652      0.000014780866      0.009500414493      0.042106739581
      0.001546502315      0.000015018704      0.009576010082      0.042441791559
      0.001558923953      0.000015260365      0.009652201416      0.042779484100
      0.001571445364      0.000015505910      0.009728993096      0.043119837603
      0.001584067347      0.000015755401      0.009806389758      0.043462872618
